palabras,0,1,2,3,4,5,6,7,8,total doc freq
animal,0.06919392037215591,0.0,0.03461439386275327,0.06136284343145276,0.0,0.061318979101119234,0.0,0.07469063114908911,0.0,5.0
animales,0.24853604960127598,0.0,0.13987197497534587,0.3030607038595605,0.36845422538139666,0.08259383600507068,0.0,0.4694892273672729,0.0,6.0
años,0.062134012400318996,0.0,0.12433064442252967,0.1377548653907093,0.18422711269069833,0.22025022934685515,0.0,0.13413977924779225,0.0,6.0
caza,0.12426802480063799,0.0,0.10878931386971347,0.08265291923442558,0.2302838908633729,0.08259383600507068,0.0,0.013413977924779226,0.0,6.0
cebra,0.034596960186077955,0.0,0.06922878772550654,0.03068142171572638,0.15386978492290637,0.0,0.0,0.029876252459635644,0.0,5.0
contenido,0.6227452833494033,0.0,0.6230590895295588,0.7670355428931596,0.0,0.061318979101119234,0.0,0.014938126229817822,0.0,5.0
década,0.0,0.0,0.06922878772550654,0.06136284343145276,0.05128992830763546,0.061318979101119234,0.0,0.029876252459635644,0.0,5.0
ejemplar,0.10379088055823388,0.0,0.03461439386275327,0.03068142171572638,0.0,0.12263795820223847,0.0,0.04481437868945347,0.0,5.0
especie,0.15533503100079749,0.0,0.12433064442252967,0.1377548653907093,0.2302838908633729,0.38543790135699657,0.0,0.026827955849558452,0.0,6.0
especies,0.12426802480063799,0.0,0.062165322211264834,0.19285681154699305,0.4145110035540712,0.33037534402028274,0.0,0.17438171302212993,0.0,6.0
extinción,0.15533503100079749,0.0,0.5128639082429349,0.3857136230939861,0.09211355634534917,0.33037534402028274,0.0,0.18779569094690918,0.0,6.0
extinta,0.10379088055823388,0.0,0.03461439386275327,0.03068142171572638,0.10257985661527091,0.09197846865167886,0.0,0.0,0.0,5.0
extinto,0.27677568148862364,0.0,0.10384318158825981,0.06136284343145276,0.0,0.030659489550559617,0.0,0.029876252459635644,0.0,5.0
extintos,0.10379088055823388,0.0,0.0,0.03068142171572638,0.05128992830763546,0.36791387460671543,0.0,0.7020919328014377,0.0,5.0
humana,0.034596960186077955,0.0,0.03461439386275327,0.03068142171572638,0.2564496415381773,0.09197846865167886,0.0,0.0,0.0,5.0
hábitat,0.09320101860047848,0.0,0.21757862773942693,0.02755097307814186,0.13817033451802374,0.13765639334178448,0.0,0.026827955849558452,0.0,6.0
isla,0.031067006200159498,0.0,0.1864959666337945,0.11020389231256744,0.04605677817267458,0.4680317373620672,0.0,0.026827955849558452,0.0,6.0
lobo,0.06919392037215591,0.0,0.08653598465688317,0.0,0.05128992830763546,0.030659489550559617,0.0,0.014938126229817822,0.0,5.0
mejorar,0.13838784074431182,0.0,0.12115037851963645,0.03068142171572638,0.05128992830763546,0.030659489550559617,0.0,0.0,0.0,5.0
norte,0.10379088055823388,0.0,0.051921590794129904,0.12272568686290553,0.05128992830763546,0.030659489550559617,0.0,0.0,0.0,5.0
peligro,0.09320101860047848,0.0,0.015541330552816209,0.02755097307814186,0.04605677817267458,0.08259383600507068,0.0,0.4024193377433768,0.0,6.0
política,0.09320101860047848,0.0,0.015541330552816209,0.11020389231256744,0.09211355634534917,0.05506255733671379,0.0,0.026827955849558452,0.0,6.0
privacidad,0.13838784074431182,0.0,0.03461439386275327,0.06136284343145276,0.10257985661527091,0.030659489550559617,0.0,0.0,0.0,5.0
página,0.3459696018607796,1.0,0.3461439386275327,0.0,0.0,0.030659489550559617,0.0,0.029876252459635644,0.0,5.0
quagga,0.034596960186077955,0.0,0.10384318158825981,0.0,0.4616093547687191,0.030659489550559617,0.0,0.10456688360872476,0.0,5.0
siglo,0.15533503100079749,0.0,0.10878931386971347,0.02755097307814186,0.2302838908633729,0.3579066226886396,0.0,0.04024193377433768,0.0,6.0
tasmania,0.10379088055823388,0.0,0.03461439386275327,0.06136284343145276,0.20515971323054183,0.0,0.0,0.05975250491927129,0.0,5.0
tigre,0.2174690434011165,0.0,0.062165322211264834,0.05510194615628372,0.13817033451802374,0.08259383600507068,0.0,0.08048386754867536,0.0,6.0
vida,0.09320101860047848,0.0,0.031082661105632417,0.1377548653907093,0.13817033451802374,0.05506255733671379,0.0,0.053655911699116904,0.0,6.0
única,0.24217872130254572,0.0,0.017307196931376636,0.03068142171572638,0.20515971323054183,0.0,0.0,0.029876252459635644,0.0,5.0
