palabras,0,1,2,3,4,5,6,7,total doc freq
acciones,0.0795186884776759,0.04917478493560552,0.07675385979034192,0.03793113752666771,0.13381314503118663,0.1666869179468563,0.0,0.0663596863454461,7.0
análisis,0.0,0.2201970004363157,0.1718458933768057,0.12738727862430388,0.033288574840633134,0.1865994909379672,0.03496009705984452,0.0,6.0
aprender,0.0795186884776759,0.14752435480681658,0.1918846494758548,0.07586227505333543,0.0446043816770622,0.1666869179468563,0.031229403685595708,0.0,7.0
autor,0.07113964511993244,0.2859554062687483,0.06866615196505518,0.06786851529625126,0.15961731482485658,0.06778308353950191,0.02793869891508705,0.059367233379488925,8.0
bolsa,0.28455858047972976,0.24196226684278704,0.27466460786022073,0.6786851529625126,0.4123447299642128,0.4473683513607126,0.13969349457543526,0.5343051004154004,8.0
comprar,0.04450903218067741,0.4266316883453617,0.014320491114733807,0.0,0.16644287420316567,0.050890770255809244,0.38456106765828973,0.0,6.0
dinero,0.10670946767989867,0.06598970913894192,0.06866615196505518,0.06786851529625126,0.039904328706214146,0.0813397002474023,0.2235095913206964,0.11873446675897785,8.0
empresas,0.03975934423883795,0.11064326610511244,0.025584619930113975,0.0,0.14868127225687403,0.04546006853096081,0.062458807371191416,0.16589921586361528,7.0
finanzas,0.0795186884776759,0.04917478493560552,0.025584619930113975,0.0,0.1784175267082488,0.015153356176986935,0.062458807371191416,0.1990790590363383,7.0
forma,0.04450903218067741,0.0825738751636184,0.11456392891787046,0.0,0.033288574840633134,0.0,0.17480048529922262,0.1485741513897486,6.0
gracias,0.0,0.09274623368898932,0.1769311146073862,0.0476934150939932,0.0,0.07621340706780064,0.0,0.12515786261967904,5.0
información,0.11927803271651385,0.02458739246780276,0.05116923986022795,0.07586227505333543,0.11894501780549921,0.04546006853096081,0.062458807371191416,0.0,7.0
inversión,0.39126804815962846,0.23096398198629672,0.4463299877728587,0.03393425764812563,0.3990432870621414,0.3253588009896092,0.4470191826413928,0.17810170013846677,8.0
inversor,0.0,0.09834956987121105,0.1279230996505699,0.03793113752666771,0.16354939948256142,0.12122684941589548,0.21860582579916993,0.1327193726908922,7.0
inversores,0.0795186884776759,0.04917478493560552,0.0895461697553989,0.0,0.11894501780549921,0.04546006853096081,0.12491761474238283,0.33179843172723056,7.0
invertir,0.5335473383994933,0.2199656971298064,0.25177589053853566,0.23753980353687942,0.2926317438455704,0.29824556757380843,0.13969349457543526,0.2374689335179557,8.0
lectura,0.11927803271651385,0.02458739246780276,0.06396154982528494,0.07586227505333543,0.0446043816770622,0.22730034265480403,0.21860582579916993,0.0,7.0
libro,0.35569822559966224,0.4289331094031225,0.4463299877728587,0.37327683412938195,0.5054548302787125,0.460924968068613,0.41908048372630574,0.29683616689744463,8.0
libros,0.24898875791976355,0.3629434002641806,0.366219477146961,0.37327683412938195,0.1330144290207138,0.25757571745010727,0.3911417848112187,0.2374689335179557,8.0
mejores,0.10670946767989867,0.04399313942596128,0.366219477146961,0.3054083188331307,0.18622020062899933,0.2304624840343065,0.13969349457543526,0.2671525502077002,8.0
mercado,0.04450903218067741,0.0825738751636184,0.10024343780313665,0.08492485241620258,0.0998657245218994,0.0,0.10488029117953357,0.0,6.0
mercados,0.0,0.0,0.08042323391244828,0.14308024528197957,0.01869471388635433,0.26674692473730227,0.07853373298218855,0.0,5.0
mundo,0.0,0.01229369623390138,0.05116923986022795,0.15172455010667085,0.2081537811596236,0.04546006853096081,0.062458807371191416,0.33179843172723056,7.0
pequeño,0.2670541930840645,0.15138543779996705,0.028640982229467614,0.04246242620810129,0.0,0.050890770255809244,0.13984038823937808,0.0,6.0
peter,0.10670946767989867,0.06598970913894192,0.022888717321685063,0.03393425764812563,0.0665072145103569,0.027113233415800766,0.0558773978301741,0.11873446675897785,8.0
plazo,0.10670946767989867,0.01099828485649032,0.06866615196505518,0.06786851529625126,0.1330144290207138,0.05422646683160153,0.0558773978301741,0.059367233379488925,8.0
street,0.03556982255996622,0.12098113342139352,0.04577743464337013,0.03393425764812563,0.07980865741242829,0.027113233415800766,0.02793869891508705,0.11873446675897785,8.0
valor,0.2385560654330277,0.04917478493560552,0.03837692989517096,0.03793113752666771,0.029736254451374802,0.07576678088493469,0.09368821105678712,0.0,7.0
value,0.1999685780385246,0.26278099545213646,0.048253940347468965,0.0,0.0,0.03810670353390032,0.039266866491094274,0.0,5.0
wall,0.10670946767989867,0.13197941827788384,0.06866615196505518,0.03393425764812563,0.07980865741242829,0.05422646683160153,0.02793869891508705,0.11873446675897785,8.0
