palabras,0,1,2,3,4,5,6,7,total doc freq
agua,0.05609282464499507,0.016050135672886733,0.08812832179665236,0.04441717940463923,0.04832968783507118,0.0,0.10638305775590655,0.0,6.0
autonomía,0.01670233220181715,0.014337379134821807,0.07872389292313879,0.0,0.1618960749182815,0.032025034948782366,0.01900612261047323,0.13924103474805952,7.0
batería,0.11691632541272005,0.04301213740446542,0.196809732307847,0.1190318800169694,0.05396535830609384,0.0,0.11403673566283938,0.09282735649870635,7.0
coche,0.10459661820154979,0.07695972479884323,0.21128579629116656,0.28397134022124815,0.33795244344608477,0.5443593654734226,0.3400681886232506,0.5813216650844719,8.0
coches,0.41838647280619917,0.05130648319922882,0.4577858919641942,0.5324462629148403,0.11586940918151478,0.25785443627688437,0.15303068488046276,0.2076148803873114,8.0
combustible,0.10459661820154979,0.03847986239942162,0.24650009567302766,0.14198567011062407,0.08690205688613609,0.11460197167861529,0.10202045658697517,0.04152297607746228,8.0
eficiencia,0.06300295598930981,0.0,0.0,0.0,0.1357086764181057,0.08053453625734691,0.07169309602312868,0.05835909406168325,5.0
electricidad,0.10021399321090291,0.028674758269643615,0.07872389292313879,0.039677293338989804,0.043172286644875074,0.032025034948782366,0.07602449044189293,0.0,7.0
eléctrico,0.10459661820154979,0.03847986239942162,0.14085719752744438,0.14198567011062407,0.21242725016611044,0.22920394335723057,0.2720545508986005,0.4152297607746228,8.0
eléctricos,0.1494237402879283,0.012826620799807205,0.387357293200472,0.21297850516593614,0.048278920492297824,0.17190295751792292,0.01700340943116253,0.08304595215492457,8.0
energía,0.20567369036498193,0.016050135672886733,0.08812832179665236,0.0,0.08457695371137457,0.0,0.06382983465354393,0.05195829907089146,6.0
españa,0.0668093288072686,0.028674758269643615,0.196809732307847,0.19838646669494903,0.0,0.0960751048463471,0.03801224522094646,0.09282735649870635,7.0
euros,0.06300295598930981,0.0,0.04949246908768067,0.09977795259591922,0.0,0.20133634064336728,0.047795397348752454,0.0,5.0
funciona,0.1470068973083896,0.018027367989063466,0.0,0.09977795259591922,0.027141735283621134,0.0,0.047795397348752454,0.0,5.0
futuro,0.11691632541272005,0.0,0.039361946461569396,0.039677293338989804,0.06475842996731261,0.032025034948782366,0.07602449044189293,0.2320683912467659,7.0
gas,0.02100098532976994,0.0,0.0,0.09977795259591922,0.10856694113448453,0.0,0.023897698674376227,0.05835909406168325,5.0
hidrógeno,0.7321763274108486,0.14109282879787927,0.5634287901097775,0.6389355154978084,0.66624910279371,0.5157088725537687,0.7651534244023138,0.5397986890070097,8.0
mirai,0.02100098532976994,0.05408210396719039,0.0,0.0,0.18999214698534797,0.040267268128673456,0.09559079469750491,0.0,5.0
motor,0.0,0.0,0.0,0.14966692889387884,0.1357086764181057,0.24160360877204073,0.1672838907206336,0.05835909406168325,5.0
mundo,0.2730128092870092,0.018027367989063466,0.0,0.0,0.1221378087762951,0.12080180438602037,0.07169309602312868,0.0,5.0
opción,0.037395216429996714,0.016050135672886733,0.0,0.04441717940463923,0.06041210979383898,0.03585077516772277,0.04255322310236261,0.0,6.0
pila,0.059769496115171315,0.05130648319922882,0.21128579629116656,0.10648925258296807,0.07724627278767653,0.08595147875896146,0.1190238660181377,0.04152297607746228,8.0
precio,0.01670233220181715,0.028674758269643615,0.039361946461569396,0.07935458667797961,0.010793071661218769,0.25620027959025893,0.07602449044189293,0.0,7.0
recarga,0.05609282464499507,0.0,0.08812832179665236,0.04441717940463923,0.04832968783507118,0.07170155033544554,0.04255322310236261,0.0,6.0
repostar,0.08400394131907976,0.0,0.04949246908768067,0.0,0.040712602925431704,0.20133634064336728,0.023897698674376227,0.0,5.0
tecnología,0.0,0.0,0.04949246908768067,0.0,0.17642127934353735,0.12080180438602037,0.09559079469750491,0.17507728218504973,5.0
tiempo,0.0334046644036343,0.028674758269643615,0.1180858393847082,0.039677293338989804,0.08634457328975015,0.0,0.05701836783141969,0.04641367824935318,7.0
toyota,0.06300295598930981,0.9734778714094271,0.0,0.0,0.40712602925431707,0.08053453625734691,0.14338619204625735,0.0,5.0
vehículo,0.08351166100908576,0.05734951653928723,0.039361946461569396,0.039677293338989804,0.08634457328975015,0.032025034948782366,0.19006122610473233,0.0,7.0
vehículos,0.11691632541272005,0.07168689567410903,0.1180858393847082,0.07935458667797961,0.05396535830609384,0.0,0.05701836783141969,0.09282735649870635,7.0
