palabras,0,1,2,3,4,5,6,7,8,total doc freq
alto,0.024557753083094554,0.17166255536569433,0.05791922668012794,0.13374665516719425,0.13588576649334053,0.27876943238536245,0.14791089995872636,0.13418921038027304,0.09687954445286365,9.0
altos,0.052185225301575926,0.3089925996582498,0.30890254229401565,0.18724531723407195,0.11647351413714903,0.10721901245590863,0.3227146908190393,0.2460135523638339,0.12455941429653897,9.0
altura,0.07804236550756505,0.17077410964634765,0.2134054208988292,0.11827061737849545,0.0,0.35554698868975826,0.23781071803605952,0.17304869724526434,0.16827929362060562,8.0
ano,0.021488033947707735,0.017166255536569433,0.019306408893375978,0.026749331033438847,0.019412252356191505,0.06433140747354518,0.2823753544666594,0.022364868396712173,0.055359739687350654,9.0
arabes,0.12215326775097136,0.03794980214363281,0.021340542089882918,0.0,0.021457537274519694,0.047406265158634435,0.02972633975450744,0.04944248492721838,0.015298117601873239,8.0
burj,0.03376691048925501,0.06866502214627773,0.0965320444668799,0.10699732413375539,0.03882450471238301,0.15010661743827208,0.05378578180317322,0.022364868396712173,0.04151980476551299,9.0
center,0.2609261265078796,0.22316132197540264,0.30890254229401565,0.13374665516719425,0.19412252356191503,0.08577520996472691,0.06723222725396652,0.20128381557040956,0.027679869843675327,9.0
china,0.5924557931296561,0.22316132197540264,0.019306408893375978,0.18724531723407195,0.21353477591810655,0.08577520996472691,0.16135734540951965,0.044729736793424346,0.06919967460918831,9.0
ciudad,0.01696573163207936,0.03794980214363281,0.042681084179765835,0.08870296303387158,0.0,0.11851566289658609,0.05945267950901488,0.09888496985443676,0.015298117601873239,8.0
construccion,0.047504048569822196,0.056924703215449214,0.042681084179765835,0.20697358041236702,0.0,0.1659219280552205,0.1634948686497909,0.09888496985443676,0.0764905880093662,8.0
dubai,0.052185225301575926,0.0514987666097083,0.07722563557350391,0.08024799310031655,0.03882450471238301,0.08577520996472691,0.05378578180317322,0.022364868396712173,0.22143895874940261,9.0
edificio,0.0644641018431232,0.17166255536569433,0.07722563557350391,0.24074397930094962,0.09706126178095752,0.4074322473324528,0.2823753544666594,0.2683784207605461,0.12455941429653897,9.0
edificios,0.07367325924928365,0.34332511073138866,0.038612817786751956,0.2674933103343885,0.13588576649334053,0.06433140747354518,0.4033933635237991,0.3354730259506826,0.24911882859307793,9.0
emiratos,0.12215326775097136,0.03794980214363281,0.021340542089882918,0.0,0.021457537274519694,0.047406265158634435,0.02972633975450744,0.04944248492721838,0.015298117601873239,8.0
finance,0.04505648597753063,0.2729583318769678,0.37783215259149017,0.22902790228863856,0.14246382771575827,0.026228848732744517,0.032893866082472245,0.0,0.0,7.0
imagen,0.004637810327507189,0.025935218728763906,0.0,0.0,0.7625417351433921,0.0,0.0,0.033789416245906964,0.020909728311166106,5.0
khalifa,0.018418314812320914,0.06866502214627773,0.0965320444668799,0.13374665516719425,0.058236757068574514,0.10721901245590863,0.05378578180317322,0.022364868396712173,0.013839934921837663,9.0
metros,0.024557753083094554,0.2574938330485415,0.1930640889337598,0.24074397930094962,0.019412252356191505,0.34310083985890766,0.3496075817206259,0.17891894717369738,0.013839934921837663,9.0
mundo,0.06753382097851002,0.49782141056051354,0.4440474045476475,0.6152346137690935,0.21353477591810655,0.5146512597883615,0.47062559077776567,0.22364868396712173,0.20759902382756495,9.0
pisos,0.026282950153559536,0.08398717903906701,0.09445803814787254,0.09815481526655938,0.0,0.052457697465489034,0.08223466520618061,0.054710889110858925,0.0,7.0
rascacielos,0.5678980400465615,0.2059950664388332,0.3861281778675196,0.1604959862006331,0.019412252356191505,0.235881827402999,0.09412511815555313,0.3131081575539704,0.6089571365608571,9.0
shanghai,0.03393146326415872,0.15179920857453125,0.17072433671906334,0.11827061737849545,0.08583014909807878,0.047406265158634435,0.08917901926352231,0.02472124246360919,0.0,8.0
shenzhen,0.09161495081322853,0.056924703215449214,0.042681084179765835,0.059135308689247726,0.04291507454903939,0.023703132579317217,0.01486316987725372,0.0,0.015298117601873239,8.0
tianjin,0.013913430982521567,0.20748174983011125,0.2625175553311443,0.24248144846350933,0.0586570565494917,0.0,0.0,0.0,0.0,5.0
torre,0.04911550616618911,0.1544962998291249,0.21237049782713577,0.13374665516719425,0.03882450471238301,0.235881827402999,0.18825023631110627,0.044729736793424346,0.08303960953102597,9.0
tower,0.34687826229871055,0.13733004429255546,0.07722563557350391,0.1604959862006331,0.3688327947676386,0.02144380249118173,0.10757156360634644,0.2907432891572583,0.5951172016390195,9.0
trade,0.05089719489623807,0.056924703215449214,0.08536216835953167,0.059135308689247726,0.04291507454903939,0.07110939773795165,0.01486316987725372,0.19776993970887352,0.0,8.0
unidos,0.21181062034169051,0.06866502214627773,0.038612817786751956,0.026749331033438847,0.09706126178095752,0.04288760498236346,0.06723222725396652,0.08945947358684869,0.055359739687350654,9.0
world,0.0644641018431232,0.12016378875598603,0.15445127114700782,0.10699732413375539,0.19412252356191503,0.02144380249118173,0.04033933635237991,0.22364868396712173,0.027679869843675327,9.0
york,0.10179438979247614,0.07589960428726562,0.06402162626964875,0.059135308689247726,0.04291507454903939,0.0,0.04458950963176116,0.5191460917357931,0.1529811760187324,8.0
