palabras,0,1,2,3,4,5,6,7,8,total doc freq
animales,0.2773355666117746,0.005804692607250241,0.07281041362484177,0.17948944174130793,0.0,0.3232736939190663,0.0,0.14063522601885667,0.15048088896155118,7.0
anos,0.037789999698426065,0.004745716560426104,0.23810913623870372,0.4952622815417175,0.4162246764627831,0.02033057133631202,0.6109070042166452,0.6323818183668052,0.12302798702561657,9.0
ciencia,0.15380623716692068,0.0,0.2826571116757005,0.12442776445288486,0.0,0.24823779055140155,0.0,0.038997116726393596,0.05563632913362449,6.0
cientificos,0.0,0.007739590143000321,0.03640520681242088,0.13461708130598093,0.08485042148554942,0.02486720722454356,0.0,0.03515880650471417,0.10032059264103411,7.0
condiciones,0.15380623716692068,0.002146131582855066,0.2826571116757005,0.02488555289057697,0.18822719653535444,0.11032790691173404,0.0,0.0,0.0,6.0
contenido,0.45675279893192927,0.10515926934512794,0.0,0.27713146127334554,0.20961430214789398,0.030715948120702576,0.0,0.0,0.0,5.0
datos,0.23111297217647883,0.9132716368740379,0.14562082724968353,0.15705326152364446,0.08485042148554942,0.07460162167363069,0.0,0.0,0.05016029632051706,7.0
edad,0.15380623716692068,0.0,0.1615183495289717,0.02488555289057697,0.0,0.19307383709553458,0.0,0.15598846690557439,0.11127265826724898,6.0
envejecimiento,0.3996586990654381,0.0,0.4946444033880536,0.16627887676400735,0.0,0.4300232736898361,0.0,0.0,0.12391589015910091,5.0
equipo,0.1386677833058873,0.0019348975357500802,0.03640520681242088,0.13461708130598093,0.08485042148554942,0.14920324334726137,0.0,0.0,0.10032059264103411,7.0
especies,0.3235581610470704,0.011609385214500481,0.2548364476869462,0.35897888348261586,0.0,0.17407045057180495,0.0,0.07031761300942833,0.15048088896155118,7.0
estudio,0.17128229959947347,0.0,0.08993534607055521,0.22170516901867646,0.0,0.1228637924828103,0.0,0.0,0.06195794507955046,5.0
forma,0.05126874572230689,0.01716905266284053,0.12113876214672877,0.02488555289057697,0.0,0.02758197672793351,0.0,0.0,0.05563632913362449,6.0
humanos,0.15380623716692068,0.004292263165710132,0.24227752429345753,0.17419887023403882,0.09411359826767722,0.13790988363966755,0.0,0.0,0.0,6.0
informacion,0.1386677833058873,0.059981823608252494,0.03640520681242088,0.2019256219589714,0.0,0.2735392794699792,0.3736134813301361,0.0,0.10032059264103411,7.0
longevidad,0.09244518887059154,0.005804692607250241,0.14562082724968353,0.2019256219589714,0.0,0.07460162167363069,0.0,0.1054764195141425,0.20064118528206823,7.0
muerte,0.09244518887059154,0.011609385214500481,0.10921562043726266,0.0,0.42425210742774705,0.07460162167363069,0.0,0.07031761300942833,0.10032059264103411,7.0
mundo,0.04622259443529577,0.0038697950715001605,0.03640520681242088,0.2243618021766349,0.16970084297109883,0.07460162167363069,0.0,0.07031761300942833,0.0,7.0
perfil,0.17128229959947347,0.02867980073048944,0.04496767303527761,0.08313943838200367,0.0,0.06143189624140515,0.0,0.0,0.0,5.0
politica,0.0,0.2708856550050112,0.14562082724968353,0.08974472087065397,0.16970084297109883,0.09946882889817424,0.0,0.03515880650471417,0.15048088896155118,7.0
privacidad,0.0,0.22319768461692688,0.12113876214672877,0.04977110578115394,0.18822719653535444,0.13790988363966755,0.0,0.0,0.05563632913362449,6.0
respuesta,0.05126874572230689,0.008584526331420265,0.040379587382242926,0.07465665867173092,0.0,0.08274593018380053,0.0,0.0,0.22254531653449797,6.0
sesion,0.08354314710672267,0.15387467932902218,0.16449777350978326,0.06082704121231382,0.0,0.022472610815924075,0.3376362405999444,0.03177317694738935,0.045330093059659966,8.0
sitio,0.11418819973298232,0.00716995018262236,0.0,0.22170516901867646,0.0,0.4607392218105386,0.0,0.04342812069055909,0.0,5.0
tiempo,0.05126874572230689,0.019315184245695595,0.12113876214672877,0.14931331734346184,0.4705679913383861,0.0,0.0,0.0,0.05563632913362449,6.0
tortuga,0.037789999698426065,0.006327622080568139,0.0892909260895139,0.09171523732254028,0.06937077941046385,0.08132228534524807,0.6109070042166452,0.2587016529682385,0.24605597405123314,9.0
tortugas,0.37594416198025205,0.0454629734381202,0.3618951017215231,0.040551360808209216,0.38339860250367824,0.33708916223886115,0.0,0.44482447726345087,0.8159416750738795,8.0
vida,0.041771573553361335,0.008742879507330808,0.2631964376156532,0.2027568040410461,0.07667972050073564,0.13483566489554447,0.0,0.15886588473694677,0.09066018611931993,8.0
viven,0.09244518887059154,0.009674487678750402,0.10921562043726266,0.11218090108831745,0.2545512644566482,0.14920324334726137,0.0,0.210952839028285,0.0,7.0
vivir,0.05709409986649116,0.00716995018262236,0.0,0.1939920228913419,0.0,0.0,0.0,0.43428120690559086,0.06195794507955046,5.0
